Time,Sensor 1,Sensor 2,Type,Concentration
264,0.399947564,0.355206216,4,0.2
265,0.399064413,0.35452762,4,0.2
266,0.398460639,0.354144954,4,0.2
267,0.397825391,0.354253018,4,0.2
268,0.397964839,0.354079765,4,0.2
269,0.397744439,0.353873598,4,0.2
270,0.397492378,0.353628169,4,0.2
271,0.397152907,0.353393896,4,0.2
272,0.39680859,0.352746011,4,0.2
273,0.395803106,0.352424275,4,0.2
274,0.395080437,0.352104657,4,0.2
275,0.395054263,0.352280578,4,0.2
276,0.394959237,0.352095451,4,0.2
277,0.39478939,0.351901148,4,0.2
278,0.394552908,0.351676329,4,0.2
279,0.394189015,0.35102746,4,0.2
280,0.3935457,0.350760188,4,0.2
281,0.392670374,0.350517375,4,0.2
282,0.392630295,0.350600232,4,0.2
283,0.39256038,0.350462564,4,0.2
284,0.392389418,0.350279189,4,0.2
285,0.392148472,0.350044774,4,0.2
286,0.391914441,0.349790867,4,0.2
287,0.39106768,0.349151204,4,0.2
288,0.390458747,0.348788516,4,0.2
289,0.390458747,0.348788516,4,0.2
290,0.389848128,0.348837806,4,0.4
291,0.390024721,0.348651375,4,0.4
292,0.389711437,0.348533232,4,0.4
293,0.389828969,0.348285395,4,0.4
294,0.389547204,0.348092698,4,0.4
295,0.389493221,0.347646567,4,0.4
296,0.388240493,0.347123026,4,0.4
297,0.387632837,0.347162629,4,0.4
298,0.387862718,0.34718821,4,0.4
299,0.38778274,0.347042358,4,0.4
300,0.387629826,0.346822111,4,0.4
301,0.387492695,0.346791787,4,0.4
302,0.387095259,0.346216682,4,0.4
303,0.386271315,0.346215818,4,0.4
304,0.3856931,0.346158413,4,0.4
305,0.385745704,0.34656764,4,0.4
306,0.385708152,0.34666702,4,0.4
307,0.385599777,0.346806298,4,0.4
308,0.385454592,0.346974793,4,0.4
309,0.385296111,0.347176691,4,0.4
310,0.384448877,0.347085043,4,0.4
311,0.38401664,0.34726945,4,0.4
312,0.383533318,0.347963661,4,0.4
313,0.383801173,0.348419271,4,0.4
314,0.383741456,0.348951431,4,0.4
315,0.383739397,0.349552706,4,0.4
316,0.383732377,0.350140433,4,0.4
317,0.383797058,0.350358689,4,0.4
318,0.383069766,0.350996755,4,0.4
319,0.382504972,0.351611943,4,0.4
320,0.382859849,0.352633581,4,0.4
321,0.382842516,0.353459048,4,0.4
322,0.382891434,0.354341362,4,0.4
323,0.382943595,0.355247527,4,0.4
324,0.383050699,0.355970653,4,0.4
325,0.383092419,0.356618254,4,0.4
326,0.382304575,0.357478734,4,0.4
327,0.38264256,0.358868744,4,0.4
328,0.383038729,0.36001818,4,0.4
329,0.383364345,0.361039653,4,0.4
330,0.383700958,0.362178652,4,0.4
331,0.384210879,0.36338886,4,0.4
332,0.384261664,0.364165841,4,0.4
333,0.384536365,0.365351255,4,0.4
334,0.384936552,0.36698267,4,0.4
335,0.386013572,0.368154719,4,0.4
336,0.386863901,0.369464429,4,0.4
337,0.387734834,0.370712236,4,0.4
338,0.388679214,0.371998838,4,0.4
339,0.389653367,0.372947001,4,0.4
340,0.389942084,0.374234905,4,0.4
341,0.390689703,0.375569611,4,0.4
342,0.392215287,0.377354032,4,0.4
343,0.393635236,0.378760128,4,0.4
344,0.395006826,0.380255503,4,0.4
345,0.396537186,0.381569158,4,0.4
346,0.397949526,0.382839578,4,0.4
347,0.399380714,0.383905028,4,0.4
348,0.399867234,0.385238706,4,0.4
349,0.401653035,0.387049496,4,0.4
350,0.403384616,0.388625819,4,0.4
351,0.405211687,0.39004548,4,0.4
352,0.406977435,0.391511472,4,0.4
353,0.408811849,0.392962833,4,0.4
354,0.410075403,0.393939664,4,0.4
355,0.411761424,0.395324014,4,0.4
356,0.413492742,0.39724196,4,0.4
357,0.416146784,0.39877316,4,0.4
358,0.418326013,0.400277796,4,0.4
359,0.420514938,0.401693196,4,0.4
360,0.4226022,0.403117033,4,0.4
361,0.424884114,0.404143616,4,0.4
362,0.426248103,0.405538395,4,0.4
363,0.428096293,0.407028433,4,0.4
364,0.430724904,0.40889705,4,0.4
365,0.43319359,0.410367953,4,0.4
366,0.435793323,0.411991939,4,0.4
367,0.438035797,0.413462837,4,0.4
368,0.440496643,0.414462253,4,0.4
369,0.442281834,0.415910123,4,0.4
370,0.44400015,0.417159375,4,0.4
371,0.446609992,0.419107087,4,0.4
372,0.449089576,0.420618672,4,0.4
373,0.451546337,0.422047771,4,0.4
374,0.453899339,0.423490174,4,0.4
375,0.456250128,0.425007361,4,0.4
376,0.457868213,0.425851004,4,0.4
377,0.459859244,0.427223097,4,0.4
378,0.461990397,0.429018407,4,0.4
379,0.464999129,0.430218568,4,0.4
380,0.467389267,0.431278952,4,0.4
381,0.469688467,0.432273619,4,0.4
382,0.472261231,0.432974501,4,0.4
383,0.474779168,0.433415126,4,0.4
384,0.476088854,0.433311682,4,0.4
385,0.478191401,0.434100397,4,0.4
386,0.481176577,0.434378677,4,0.4
